test_id,system,query,response,ground_truth,timestamp
TEST_010,baseline_rag,"I moved, need to update my address for order ORD001","Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Address updated for customer associated with ORD001,2025-12-03T17:54:18.406107
TEST_011,baseline_rag,Can you update my email on file?,"I’m happy to help you update your email address.  
To keep your account secure, we’ll need to verify your identity first. Could you please confirm the last four digits of the phone number you used to register, or the email address currently on file? Once we confirm that this is your account, you can update your email address in your account settings or let me know and I’ll guide you through the process.",Email updated on file,2025-12-03T17:54:23.229122
TEST_012,baseline_rag,What's the current address for customer CUST001?,"I’m sorry, but I couldn’t locate the current address for customer CUST001.",Customer CUST001: Alice | Email: alice@email.com | Address: 123 Main St,2025-12-03T17:54:27.227809
TEST_013,baseline_rag,I need to change the delivery address for order ORD002,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Delivery address updated for ORD002,2025-12-03T17:54:29.272413
TEST_014,baseline_rag,Update my shipping address to 999 New St,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Address updated to 999 New St,2025-12-03T17:54:31.335428
TEST_015,baseline_rag,Where is order ORD999?,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Order ORD999 not found in database.,2025-12-03T17:54:33.268547
TEST_016,baseline_rag,Can you check customer CUST999?,"I’m sorry, but I couldn’t find any record for customer CUST999. If you have a different account number or additional details, please let me know and I’ll try again.",Customer CUST999 not found in database.,2025-12-03T17:54:36.745987
TEST_017,baseline_rag,I want a refund for order ORD888,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Order ORD888 not found in database.,2025-12-03T17:54:38.793900
TEST_018,baseline_rag,Check the status of order XYZ123,"I’m sorry, but I don’t have any details for order XYZ123 in our system. Could you please double‑check the order number or provide any additional information (such as the email address used for the order or the date it was placed)? That will help me locate the correct record.",Order XYZ123 not found in database.,2025-12-03T17:54:41.763668
TEST_019,baseline_rag,What's the delivery date for order FAKE001?,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Order FAKE001 not found in database.,2025-12-03T17:54:43.686956
TEST_020,baseline_rag,My order status is unclear,"I’m sorry I can’t see your order details right now. Could you please provide your order number (or the email address you used to place the order)? Once I have that, I’ll be able to look up the status and let you know what’s happening.",Please specify order ID for status check,2025-12-03T17:54:47.499200
TEST_021,baseline_rag,I've been waiting for 2 months,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Order status inquiry requires order ID,2025-12-03T17:54:49.443332
TEST_022,baseline_rag,Do you have any orders under alice@email.com?,"I’m sorry, but I don’t have any order records for that email address.",Not available in current system,2025-12-03T17:54:51.447149
TEST_023,baseline_rag,How much was order ORD003?,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD003: USB Cable ($30.00) is currently delivered.,2025-12-03T17:54:53.640712
TEST_024,baseline_rag,When was order ORD001 created?,"I’m sorry, but I don’t have the creation date for order ORD001.",Order ORD001 created on 2025-11-01,2025-12-03T17:54:56.305503
TEST_025,baseline_rag,Check order ORD001 and tell me if I can refund it,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001 is shipped; refund can be processed upon request,2025-12-03T17:54:58.558403
TEST_026,baseline_rag,What's the status of ORD002 and update my address,"I’m sorry, but I don’t have any details about order **ORD002** or your address on hand. Could you please provide your account email or the full name associated with the order? Once I have that information, I can look up the order status and update your address for you.",ORD002 is processing; address change noted,2025-12-03T17:55:01.833695
TEST_027,baseline_rag,Is ORD003 delivered and can I return it?,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD003 is delivered and eligible for return,2025-12-03T17:55:03.780347
TEST_028,baseline_rag,Check customer CUST001 and their orders,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Customer CUST001: Alice with associated orders,2025-12-03T17:55:05.917388
TEST_029,baseline_rag,Tell me about ORD005 and process a refund,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD005 is processing; refund initiated,2025-12-03T17:55:07.911970
TEST_030,baseline_rag,Where is my order ORD001? (variant 30),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:10.953648
TEST_031,baseline_rag,Where is my order ORD001? (variant 31),"I’m sorry, but I can’t locate order **ORD001** in our system. It may not have been entered yet, or there could be a typo. Could you double‑check the order number or provide any other details (like the email used or purchase date) so I can help you further?",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:14.139340
TEST_032,baseline_rag,Where is my order ORD001? (variant 32),"I’m sorry, but I can’t locate order ORD001 in our system. Please double‑check the order number and let me know if you need help locating it.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:16.070914
TEST_033,baseline_rag,Where is my order ORD001? (variant 33),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:18.527487
TEST_034,baseline_rag,Where is my order ORD001? (variant 34),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:20.882112
TEST_035,baseline_rag,Where is my order ORD001? (variant 35),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:22.725869
TEST_036,baseline_rag,Where is my order ORD001? (variant 36),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:25.182844
TEST_037,baseline_rag,Where is my order ORD001? (variant 37),"I’m sorry, but I couldn’t locate an order with the reference “ORD001” in our system. Could you please double‑check the order number and let me know if there’s an alternative reference or any additional details that might help me find it?",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:29.066227
TEST_038,baseline_rag,Where is my order ORD001? (variant 38),"I’m sorry, but I couldn’t find any record of order ORD001 in our system. Please double‑check the order number and let me know if you have any other details (e.g., confirmation email, purchase date) so I can help locate it.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:31.326382
TEST_039,baseline_rag,Where is my order ORD001? (variant 39),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:33.886475
TEST_040,baseline_rag,Where is my order ORD001? (variant 40),"I’m sorry, but I couldn’t locate order ORD001 in our system. Could you double‑check the order number or provide any additional details (e.g., date of purchase, email used)? That will help me locate it for you.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:35.614998
TEST_041,baseline_rag,Where is my order ORD001? (variant 41),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:37.368879
TEST_042,baseline_rag,Where is my order ORD001? (variant 42),"I’m sorry, but I couldn’t locate any record of order ORD001 in our system. Could you double‑check the order number or provide any additional details that might help us locate it?",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:39.930352
TEST_043,baseline_rag,Where is my order ORD001? (variant 43),"I’m sorry, but I couldn’t locate any record for order **ORD001** in our system. It’s possible the order number was entered incorrectly or hasn’t been processed yet. Could you double‑check the number or provide any additional details (e.g., order date, email used)? That will help me locate it for you.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:43.308640
TEST_044,baseline_rag,Where is my order ORD001? (variant 44),"Error: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'openai/gpt-oss-20b:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Chutes'}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:45.932005
TEST_045,baseline_rag,Where is my order ORD001? (variant 45),"I’m sorry, but I couldn’t find any record for order **ORD001** in our system. Could you please double‑check the order number or let me know the email address or phone number used at checkout? That will help me locate your order.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:49.042160
TEST_046,baseline_rag,Where is my order ORD001? (variant 46),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:52.070606
TEST_047,baseline_rag,Where is my order ORD001? (variant 47),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:53.855913
TEST_048,baseline_rag,Where is my order ORD001? (variant 48),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:55.653558
TEST_049,baseline_rag,Where is my order ORD001? (variant 49),"I’m sorry, but I can’t locate order **ORD001** in our system. Please double‑check the order number you have and, if it’s still missing, let me know so we can investigate further.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:59.283127
