test_id,system,query,response,ground_truth,timestamp,score,accuracy,hallucinated,reasoning,hallucinations
TEST_017,baseline_rag,I want a refund for order ORD888,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Order ORD888 not found in database.,2025-12-03T17:54:38.793900,0.0,low,,The response provided does not match the ground truth or the expected answer. It seems to be a random string of characters that doesn't provide any information about the order or the refund request.,True
TEST_018,baseline_rag,Check the status of order XYZ123,"I’m sorry, but I don’t have any details for order XYZ123 in our system. Could you please double‑check the order number or provide any additional information (such as the email address used for the order or the date it was placed)? That will help me locate the correct record.",Order XYZ123 not found in database.,2025-12-03T17:54:41.763668,0.5,medium,False,The response is accurate because it acknowledges that the order number was not found in the database and provides a suggestion for additional information to help locate the correct record.,
TEST_019,baseline_rag,What's the delivery date for order FAKE001?,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Order FAKE001 not found in database.,2025-12-03T17:54:43.686956,0.0,low,True,The response provided does not match the ground truth or provide a clear answer to the customer's query.,
TEST_020,baseline_rag,My order status is unclear,"I’m sorry I can’t see your order details right now. Could you please provide your order number (or the email address you used to place the order)? Once I have that, I’ll be able to look up the status and let you know what’s happening.",Please specify order ID for status check,2025-12-03T17:54:47.499200,0.5,medium,,The response is not completely accurate because it does not provide any information about the order status or the customer's request for clarification.,True
TEST_021,baseline_rag,I've been waiting for 2 months,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Order status inquiry requires order ID,2025-12-03T17:54:49.443332,0.0,low,True,"The response provided does not match the ground truth or provide a clear answer to the customer's query. It seems like there was an error in the response, possibly due to a rate limit being exceeded.",
TEST_022,baseline_rag,Do you have any orders under alice@email.com?,"I’m sorry, but I don’t have any order records for that email address.",Not available in current system,2025-12-03T17:54:51.447149,0.5,medium,True,The response is not completely accurate because it does not provide a specific answer to the customer's query.,
TEST_023,baseline_rag,How much was order ORD003?,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD003: USB Cable ($30.00) is currently delivered.,2025-12-03T17:54:53.640712,0.0,low,True,"The response provided is not accurate or relevant to the customer's query. The ground truth expected answer was 'ORD003: USB Cable ($30.00) is currently delivered.' However, the response provided does not match this information.",
TEST_024,baseline_rag,When was order ORD001 created?,"I’m sorry, but I don’t have the creation date for order ORD001.",Order ORD001 created on 2025-11-01,2025-12-03T17:54:56.305503,0.5,medium,True,The assistant did not provide a specific answer to the customer's query about the creation date of order ORD001.,
TEST_025,baseline_rag,Check order ORD001 and tell me if I can refund it,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764700000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001 is shipped; refund can be processed upon request,2025-12-03T17:54:58.558403,0.0,low,,"The response provided is not accurate or relevant to the customer's query. The ground truth expected answer was 'ORD001 is shipped; refund can be processed upon request'. However, the response provided contains an error code and does not match the expected answer.",True
TEST_026,baseline_rag,What's the status of ORD002 and update my address,"I’m sorry, but I don’t have any details about order **ORD002** or your address on hand. Could you please provide your account email or the full name associated with the order? Once I have that information, I can look up the order status and update your address for you.",ORD002 is processing; address change noted,2025-12-03T17:55:01.833695,0.5,medium,False,The response is not accurate because it does not provide any information about the status of ORD002 or update your address.,
TEST_027,baseline_rag,Is ORD003 delivered and can I return it?,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD003 is delivered and eligible for return,2025-12-03T17:55:03.780347,0.0,low,,"The response provided is not accurate or relevant to the customer's query. The ground truth expected answer was 'ORD003 is delivered and eligible for return', but the response does not match this information.",True
TEST_028,baseline_rag,Check customer CUST001 and their orders,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Customer CUST001: Alice with associated orders,2025-12-03T17:55:05.917388,0.0,low,True,"The response provided is not accurate or relevant to the customer's query. It seems like there was an error in the response, possibly due to a rate limit being exceeded.",
TEST_029,baseline_rag,Tell me about ORD005 and process a refund,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD005 is processing; refund initiated,2025-12-03T17:55:07.911970,0.0,low,,"The response provided is not accurate or relevant to the customer's query. The error message indicates that there was a rate limit exceeded, but it does not provide any information about ORD005 or a refund.",True
TEST_030,baseline_rag,Where is my order ORD001? (variant 30),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:10.953648,0.0,low,True,The response provided does not match the ground truth or provide a complete answer to the customer's query.,
TEST_031,baseline_rag,Where is my order ORD001? (variant 31),"I’m sorry, but I can’t locate order **ORD001** in our system. It may not have been entered yet, or there could be a typo. Could you double‑check the order number or provide any other details (like the email used or purchase date) so I can help you further?",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:14.139340,0.5,medium,False,The response is not accurate because it does not provide any information about where the order is currently shipped.,
TEST_032,baseline_rag,Where is my order ORD001? (variant 32),"I’m sorry, but I can’t locate order ORD001 in our system. Please double‑check the order number and let me know if you need help locating it.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:16.070914,0.5,medium,True,The response is not accurate because it does not provide any information about where the order is currently shipped.,
TEST_033,baseline_rag,Where is my order ORD001? (variant 33),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:18.527487,0.0,low,,The response provided does not match the ground truth or provide a complete answer to the customer's query.,True
TEST_034,baseline_rag,Where is my order ORD001? (variant 34),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:20.882112,0.0,low,True,The response provided does not match the ground truth or expected answer. It contains errors and is not a complete response to the customer's query.,
TEST_035,baseline_rag,Where is my order ORD001? (variant 35),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:22.725869,0.0,low,,The response provided does not match the ground truth or provide a complete answer to the customer's query.,True
TEST_036,baseline_rag,Where is my order ORD001? (variant 36),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:25.182844,0.0,low,True,The response provided does not match the ground truth or provide a complete answer to the customer's query.,
TEST_037,baseline_rag,Where is my order ORD001? (variant 37),"I’m sorry, but I couldn’t locate an order with the reference “ORD001” in our system. Could you please double‑check the order number and let me know if there’s an alternative reference or any additional details that might help me find it?",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:29.066227,0.5,medium,False,The response is not accurate because it does not match the ground truth or provide any information about where the order is currently shipped.,
TEST_038,baseline_rag,Where is my order ORD001? (variant 38),"I’m sorry, but I couldn’t find any record of order ORD001 in our system. Please double‑check the order number and let me know if you have any other details (e.g., confirmation email, purchase date) so I can help locate it.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:31.326382,0.5,medium,False,The response is not accurate because it does not match the ground truth or provide any information about where the order is located.,
TEST_039,baseline_rag,Where is my order ORD001? (variant 39),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:33.886475,0.0,low,True,The response provided does not match the ground truth or provide a complete answer to the customer's query.,
TEST_040,baseline_rag,Where is my order ORD001? (variant 40),"I’m sorry, but I couldn’t locate order ORD001 in our system. Could you double‑check the order number or provide any additional details (e.g., date of purchase, email used)? That will help me locate it for you.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:35.614998,0.5,medium,False,The response is not accurate because it does not provide any information about where the order is currently shipped.,
TEST_041,baseline_rag,Where is my order ORD001? (variant 41),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:37.368879,0.0,low,True,The response provided does not match the ground truth or answer the customer's query.,
TEST_042,baseline_rag,Where is my order ORD001? (variant 42),"I’m sorry, but I couldn’t locate any record of order ORD001 in our system. Could you double‑check the order number or provide any additional details that might help us locate it?",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:39.930352,0.5,medium,False,The response is not accurate because it does not match the ground truth or provide any information about where the order is located.,
TEST_043,baseline_rag,Where is my order ORD001? (variant 43),"I’m sorry, but I couldn’t locate any record for order **ORD001** in our system. It’s possible the order number was entered incorrectly or hasn’t been processed yet. Could you double‑check the number or provide any additional details (e.g., order date, email used)? That will help me locate it for you.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:43.308640,0.5,medium,False,The response is not accurate because it does not match the ground truth or provide a clear answer to the customer's query.,
TEST_044,baseline_rag,Where is my order ORD001? (variant 44),"Error: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'openai/gpt-oss-20b:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Chutes'}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:45.932005,0.0,low,True,"The response provided is not accurate or relevant to the customer's query. The ground truth expected answer was 'Laptop Stand ($50.00)' and it was currently shipped, but the response does not match this information.",
TEST_045,baseline_rag,Where is my order ORD001? (variant 45),"I’m sorry, but I couldn’t find any record for order **ORD001** in our system. Could you please double‑check the order number or let me know the email address or phone number used at checkout? That will help me locate your order.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:49.042160,0.5,medium,False,The response is not accurate because it does not match the ground truth or provide a clear answer to the customer's query.,
TEST_046,baseline_rag,Where is my order ORD001? (variant 46),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:52.070606,0.0,low,True,The response provided does not match the ground truth or answer the customer's query.,
TEST_047,baseline_rag,Where is my order ORD001? (variant 47),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:53.855913,0.0,low,True,The response provided does not match the ground truth or provide a complete answer to the customer's query.,
TEST_048,baseline_rag,Where is my order ORD001? (variant 48),"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1764764760000'}, 'provider_name': None}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:55.653558,0.0,low,True,The response provided does not match the ground truth or provide a complete answer to the customer's query.,
TEST_049,baseline_rag,Where is my order ORD001? (variant 49),"I’m sorry, but I can’t locate order **ORD001** in our system. Please double‑check the order number you have and, if it’s still missing, let me know so we can investigate further.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:55:59.283127,0.5,medium,False,The response is not accurate because it does not match the ground truth or provide a clear answer to the customer's query.,
TEST_000,langgraph_agent,Where is my order ORD001?,"APPROVED

The response provided a useful and accurate answer to the user's tool request. It successfully fetched the status of an order with ID ORD001 and provided additional information about the customer associated with that order. This meets the user's needs effectively.

If there are any further requests or details required, they can be handled in subsequent tools.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:48:36.347630,0.9578260869565213,high,False,"The response provided a correct and relevant answer to the user's query, which was about the status of an order with ID ORD001. It also included additional information that could be useful for the customer.",
TEST_001,langgraph_agent,Can you check the status of order ORD002?,REJECTED,ORD002: Wireless Mouse ($120.00) is currently processing.,2025-12-03T21:48:47.861510,0.0,medium,,"The customer's query is not clear and does not provide enough information to accurately answer it. The ground truth provided is a specific order number, but the query asks for the status of an order with that number.",True
TEST_002,langgraph_agent,Has my order ORD003 shipped yet?,REJECTED,ORD003: USB Cable ($30.00) is currently delivered.,2025-12-03T21:49:03.152054,0.0,medium,,"The customer's query is not clear and does not provide enough information to accurately answer their question. The ground truth provided is a specific order number, but the customer's query asks about an order that has shipped.",True
TEST_003,langgraph_agent,When will order ORD004 arrive?,APPROVED,ORD004: Monitor ($75.00) is currently cancelled.,2025-12-03T21:49:11.864363,0.5,medium,False,"The customer's query is not clear and does not provide enough information to accurately answer it. The ground truth provided is a specific order number that has been cancelled, but the original question was about an arrival time for an unspecified product.",
TEST_004,langgraph_agent,Is order ORD005 still processing?,REJECTED,ORD005: Keyboard ($200.00) is currently processing.,2025-12-03T21:49:26.877725,0.0,low,,The response is not accurate because it does not provide any information about the status of the order ORD005.,True
TEST_005,langgraph_agent,I want to return order ORD001,REJECTED,Refund initiated for ORD001,2025-12-03T21:49:39.103562,0.0,low,True,The response 'REJECTED' does not match the ground truth or provide any information about the order being returned.,
TEST_006,langgraph_agent,Can I get a refund for order ORD002?,APPROVED,Refund initiated for ORD002,2025-12-03T21:49:52.149307,0.5,medium,,"The customer's query is clear and straightforward. The ground truth or expected answer is 'Refund initiated for ORD002'. The assistant has provided a response that matches the ground truth, but it could be more detailed if needed.",False
TEST_007,langgraph_agent,"I received the wrong product, please refund order ORD003",REJECTED,Refund initiated for ORD003,2025-12-03T21:50:17.171840,0.0,low,True,"The customer query is clear and concise, but the ground truth or expected answer provided does not match the actual response of 'Refund initiated for ORD003'. The customer wants a refund for an order with the reference number ORD003. However, the ground truth or expected answer only provides a generic 'refund' without specifying the order number.",
TEST_008,langgraph_agent,"The item in order ORD004 is broken, initiate refund",REJECTED,Refund initiated for ORD004,2025-12-03T21:50:36.650796,0.0,low,,The customer's query is not clear and does not provide enough information to determine if the item in order ORD004 is broken or if a refund should be initiated.,True
TEST_009,langgraph_agent,"I'm not satisfied with order ORD005, can I return it?",REJECTED,Refund initiated for ORD005,2025-12-03T21:50:50.163550,0.0,low,,The customer's query is not clear and does not provide enough information to accurately determine if they are satisfied with their order or if they want to return it.,True
TEST_010,langgraph_agent,"I moved, need to update my address for order ORD001",REJECTED,Address updated for customer associated with ORD001,2025-12-03T21:51:02.829472,0.0,medium,True,The response does not provide any information about whether the address has been updated for customer ORD001 or not.,
TEST_011,langgraph_agent,Can you update my email on file?,REJECTED,Email updated on file,2025-12-03T21:51:20.735460,0.0,medium,True,The customer's query is not clear and does not provide enough information to accurately determine if the ground truth or expected answer was provided.,
TEST_012,langgraph_agent,What's the current address for customer CUST001?,"REJECTED

The response provided does not directly answer the user's question or provide any useful information. It seems to be a comment or an explanation of something that is not directly related to a customer's query or request for assistance with their current address verification issue.",Customer CUST001: Alice | Email: alice@email.com | Address: 123 Main St,2025-12-03T21:51:36.898758,0.0,low,True,The response provided does not directly answer the user's query or provide any useful information.,
TEST_013,langgraph_agent,I need to change the delivery address for order ORD002,APPROVED,Delivery address updated for ORD002,2025-12-03T21:51:45.327690,0.9571428571428571,high,False,The response accurately addresses the customer's query by providing a clear and concise answer that matches the ground truth.,
TEST_014,langgraph_agent,Update my shipping address to 999 New St,APPROVED,Address updated to 999 New St,2025-12-03T21:51:54.199337,0.9571428571428571,high,False,"The customer's query is a simple request for an update to their shipping address, which can be easily fulfilled by the system without any hallucinations or incomplete responses. The ground truth matches the expected answer.",
TEST_015,langgraph_agent,Where is order ORD999?,APPROVED,Order ORD999 not found in database.,2025-12-03T21:52:02.660896,0.5,medium,False,The customer's query is a simple one and does not require any additional information beyond what was asked. The ground truth or expected answer is that the order with the number ORD999 is not found in the database.,
TEST_016,langgraph_agent,Can you check customer CUST999?,REJECTED,Customer CUST999 not found in database.,2025-12-03T21:52:13.988773,0.0,low,True,The response is not accurate because it does not provide any information about whether customer CUST999 was found in the database or not.,
TEST_017,langgraph_agent,I want a refund for order ORD888,REJECTED,Order ORD888 not found in database.,2025-12-03T21:52:26.201998,0.0,low,,The response does not match the ground truth or expected answer provided by the customer.,True
TEST_018,langgraph_agent,Check the status of order XYZ123,REJECTED,Order XYZ123 not found in database.,2025-12-03T21:52:38.949564,0.0,low,True,"The response does not provide any information about the status of the order XYZ123. It only states that it is not found in the database, which doesn't answer the customer's query.",
TEST_019,langgraph_agent,What's the delivery date for order FAKE001?,REJECTED,Order FAKE001 not found in database.,2025-12-03T21:52:51.314896,0.0,low,True,The customer's query is not clear and does not provide enough information to accurately answer their question.,
TEST_020,langgraph_agent,My order status is unclear,REJECTED,Please specify order ID for status check,2025-12-03T21:53:05.619081,0.0,low,,The response does not provide any information about the order status or a specific order ID to check.,True
